"filename", "language", "Batch", "Markdown", "Go", "XML", "JavaScript", "JSON", "PostCSS", "Vue", "YAML", "HTML", "Java", "comment", "blank", "total"
"f:\Codefile\Java_go\Doc\Doc\README.MD", "Markdown", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 67
"f:\Codefile\Java_go\Doc\Doc\docker\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 6, 3, 43
"f:\Codefile\Java_go\Doc\Doc\pom.xml", "XML", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 11, 66
"f:\Codefile\Java_go\Doc\Doc\src\main\java\org\example\Main.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 6, 3, 20
"f:\Codefile\Java_go\Doc\Doc\src\main\java\org\example\common\Result.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 4, 5, 30
"f:\Codefile\Java_go\Doc\Doc\src\main\java\org\example\config\WebConfig.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 1, 6, 39
"f:\Codefile\Java_go\Doc\Doc\src\main\java\org\example\controller\DocVersionController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 8, 31
"f:\Codefile\Java_go\Doc\Doc\src\main\java\org\example\controller\DocumentController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 20, 23, 129
"f:\Codefile\Java_go\Doc\Doc\src\main\java\org\example\controller\UserController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 5, 8, 53
"f:\Codefile\Java_go\Doc\Doc\src\main\java\org\example\entity\DocVersion.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 1, 3, 21
"f:\Codefile\Java_go\Doc\Doc\src\main\java\org\example\entity\Document.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 1, 4, 26
"f:\Codefile\Java_go\Doc\Doc\src\main\java\org\example\entity\User.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 1, 3, 21
"f:\Codefile\Java_go\Doc\Doc\src\main\java\org\example\interceptor\LoginInterceptor.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 10, 12, 59
"f:\Codefile\Java_go\Doc\Doc\src\main\java\org\example\mapper\DocVersionMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 9
"f:\Codefile\Java_go\Doc\Doc\src\main\java\org\example\mapper\DocumentMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"f:\Codefile\Java_go\Doc\Doc\src\main\java\org\example\mapper\UserMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
